"Issue Type","Epic Name","Epic Link","Summary","Description","Story Points","Priority","Depends On"
"Story","","EPIC-03","STORY-03.5 Multi-source orchestration & normalization","Orchestrator (allSettled), documented merge/precedence, Zod validation, partial-success, per-provider summary.","5","P0","STORY-03.3, STORY-03.4"
"Story","","EPIC-03","STORY-03.6 Persistence of scrape results","Transactional upsert via repositories; idempotent; SyncLog lifecycle.","5","P0","STORY-03.5, STORY-02.6"
"Story","","EPIC-03","STORY-03.7 Scraper resilience & error taxonomy","Typed error classes; transient-vs-permanent retry; ParseError with selector context; structured logging.","5","P0","STORY-03.2"
"Story","","EPIC-03","STORY-03.8 Configurable concurrency & polite scraping","Configurable concurrency + delay, shared rate limiter, UA/viewport, tuning docs.","3","P1","STORY-03.2"
"Story","","EPIC-04","STORY-04.1 Express app, middleware & routing skeleton","Express + helmet/CORS/request-id/compression; versioned modular routes; /health; 404+error placeholders; app/server split.","5","P0","EPIC-01"
"Story","","EPIC-04","STORY-04.2 Validation layer (Zod) & DTOs","Generic validate() middleware; request/response DTOs; reusable symbolSchema; error envelope.","5","P0","STORY-04.1"
"Story","","EPIC-04","STORY-04.3 Stock service & CRUD endpoints","GET /stocks (paginated), GET /stocks/:symbol (aggregate detail), DELETE /stocks/:symbol; thin controllers.","8","P0","STORY-04.2, EPIC-02"
"Story","","EPIC-04","STORY-04.4 Add new stock endpoint (POST /stocks)","Validate + dedupe(409) + insert + enqueue full scrape (async); return job/sync ref.","5","P0","STORY-04.3, EPIC-03, EPIC-05"
"Story","","EPIC-04","STORY-04.5 On-demand sync endpoint (POST /stocks/:symbol/sync)","Enqueue single-stock sync with de-dupe; return job ref; 404 unknown symbol.","5","P0","STORY-04.4, EPIC-05"
"Story","","EPIC-04","STORY-04.6 History endpoint (GET /stocks/:symbol/history)","Historical prices with date-range + pagination using composite index.","3","P1","STORY-04.3"
"Story","","EPIC-04","STORY-04.7 Sync status & logs endpoints","POST /sync/all; GET /sync/status (live queue metrics); GET /sync/logs (paginated, filterable).","3","P1","STORY-04.1, EPIC-05"
"Story","","EPIC-04","STORY-04.8 OpenAPI / Swagger documentation","Generate OpenAPI from Zod; Swagger UI at /api/docs; export openapi.json.","5","P1","STORY-04.3, STORY-04.7"
"Story","","EPIC-04","STORY-04.9 API-level rate limiting & hardening","Redis-backed rate limit on add/sync; payload limits; security headers; consistent error envelope.","3","P2","STORY-04.1"
"Story","","EPIC-05","STORY-05.1 BullMQ + Redis infrastructure","Redis connections; stock-sync + stock-sync-all queues; typed payloads; graceful shutdown.","5","P0","EPIC-01"
"Story","","EPIC-05","STORY-05.2 Sync worker (single-stock processor)","Consume stock-sync; run orchestrator+persist; SyncLog lifecycle; progress reporting; bounded concurrency.","8","P0","STORY-05.1, EPIC-03"
"Story","","EPIC-05","STORY-05.3 Sync-all fan-out flow","Enumerate stocks -> enqueue per-symbol child jobs; aggregate SyncLog; idempotent fan-out.","5","P0","STORY-05.2"
"Story","","EPIC-05","STORY-05.4 Job de-duplication & idempotency","Deterministic jobId per symbol; retention config; API helper to reuse existing job.","3","P0","STORY-05.1"
"Story","","EPIC-05","STORY-05.5 Hourly scheduler (configurable cron)","Repeatable job from CRON_EXPRESSION; single scheduler across replicas; cron logging.","5","P0","STORY-05.3"
"Story","","EPIC-05","STORY-05.6 Retry policy & exponential backoff","3 attempts + exponential backoff; UnrecoverableError for permanent; persist final failure; dead-letter via logs.","5","P0","STORY-05.2"
"Story","","EPIC-05","STORY-05.7 Queue observability hooks","QueueEvents -> logger; live counts for status endpoint; optional Bull Board (dev).","3","P2","STORY-05.2"
"Story","","EPIC-06","STORY-06.1 Search API with fuzzy matching","GET /search?q= with trigram fuzzy ranking; result DTO (symbol, company, price, lastSynced, lastTradeDate); pagination.","8","P1","EPIC-04, STORY-02.5"
"Story","","EPIC-06","STORY-06.2 Search result caching","Redis cache-aside with short TTL keyed by normalized query; invalidation/expiry; hit/miss metrics.","5","P1","STORY-06.1"
"Story","","EPIC-06","STORY-06.3 Add stock capability (end-to-end)","Verify add->enqueue->first-sync->searchable; duplicate handling; progress reference.","3","P1","STORY-04.4, EPIC-05"
"Story","","EPIC-06","STORY-06.4 Remove stock capability","Delete + cascade (or soft delete); cancel/skip queued jobs; remove from search.","2","P2","STORY-04.3"
"Story","","EPIC-06","STORY-06.5 On-demand sync with progress","Immediate scrape (de-duped); queryable progress; refresh-on-complete; no stacking.","5","P1","STORY-04.5, STORY-05.2"
"Story","","EPIC-06","STORY-06.6 Phonetic search enhancement (optional)","fuzzystrmatch phonetic ranking blended with trigram; flag-gated fallback.","3","P2","STORY-06.1"
"Story","","EPIC-07","STORY-07.1 Frontend architecture & app shell","Vite/TS structure; React Router 4 pages + 404; responsive shell; Axios instance+interceptors; QueryClient provider.","8","P1","EPIC-01"
"Story","","EPIC-07","STORY-07.2 Theme & dark mode (Context API)","ColorModeContext toggle; light/dark MUI palettes; persist + system default.","5","P1","STORY-07.1"
"Story","","EPIC-07","STORY-07.3 Data layer: React Query hooks","Typed query/mutation hooks per endpoint; cache invalidation; polling for active sync; error normalization.","8","P1","STORY-07.1, EPIC-04"
"Story","","EPIC-07","STORY-07.4 Dashboard page","Tracked-stocks list (responsive), search entry, Add Stock dialog, sync status summary, skeletons/empty states.","5","P1","STORY-07.3"
"Story","","EPIC-07","STORY-07.5 Search Results page","Debounced URL-synced search; result rows -> details; no-results/short-query/loading states.","5","P1","STORY-07.3, EPIC-06"
"Story","","EPIC-07","STORY-07.6 Stock Details page","Company/price/OHLC/history/financials/ratios/dividends/last-sync; Sync button + progress + auto-refresh; history chart; partial-data handling.","13","P1","STORY-07.3, STORY-04.3"
"Story","","EPIC-07","STORY-07.7 Sync Logs page","Paginated filterable logs table; status chips; error detail; Sync All action with confirm.","5","P2","STORY-07.3, STORY-04.7"
"Story","","EPIC-07","STORY-07.8 Responsive design & accessibility polish","Responsive audit across breakpoints; a11y pass; dark-mode contrast.","3","P2","STORY-07.4"
"Story","","EPIC-07","STORY-07.9 Global error & loading UX","Error boundary + snackbar from error envelope; standardized skeletons/retry; offline handling.","3","P2","STORY-07.3"
"Story","","EPIC-08","STORY-08.1 Winston structured logging foundation","Shared JSON logger, env-driven level, context metadata, child loggers, secret redaction.","5","P1","EPIC-01"
"Story","","EPIC-08","STORY-08.2 HTTP request/response logging & correlation","Request logging middleware + correlation id propagation; slow-request flagging; health sampling.","3","P1","STORY-08.1, EPIC-04"
"Story","","EPIC-08","STORY-08.3 Global API error-handling middleware","AppError hierarchy -> HTTP mapping; consistent error envelope; async error capture; no internal leakage.","5","P0","STORY-04.1"
"Story","","EPIC-08","STORY-08.4 Scraping, cron & job logging","Structured scrape/cron/job logs with correlation; tagged parse failures for alerting.","3","P1","STORY-08.1, EPIC-03, EPIC-05"
"Story","","EPIC-08","STORY-08.5 Performance metrics & health","API/scrape/job timing metrics; /metrics (prom-client) or perf logs; health incl. worker/queue.","5","P2","STORY-08.1, EPIC-04"
"Story","","EPIC-09","STORY-09.1 Jest setup & test infrastructure","Jest TS transform; unit/integration split; coverage thresholds; test scripts + CI wiring.","3","P1","EPIC-01"
"Story","","EPIC-09","STORY-09.2 Unit tests: services & repositories","Services vs mocked repos (happy + error branches); Zod validator tests; repo upsert/txn mapping.","8","P1","STORY-09.1, EPIC-04"
"Story","","EPIC-09","STORY-09.3 Scraper tests with fixtures","Fixture-based extraction tests per provider; not-found/parse-failure; orchestrator merge + partial success.","8","P1","STORY-09.1, EPIC-03"
"Story","","EPIC-09","STORY-09.4 API / integration tests","Supertest against app with ephemeral Postgres; CRUD/add/sync/search/history/logs incl. errors; stubbed queue.","8","P1","STORY-09.1, EPIC-04"
"Story","","EPIC-09","STORY-09.5 Job/worker tests","Processor with mocked orchestrator: persistence, SyncLog, progress, retry-vs-permanent, dedupe/fan-out.","5","P2","STORY-09.1, EPIC-05"
"Story","","EPIC-09","STORY-09.6 Quality gates in CI","CI blocks on test/coverage/lint/typecheck failures; publish coverage summary.","2","P2","STORY-09.1, STORY-01.7"
"Story","","EPIC-10","STORY-10.1 README & installation guide","README (overview/stack/quickstart/scripts); install guide + troubleshooting; env var reference.","3","P2","EPIC-01"
"Story","","EPIC-10","STORY-10.2 Docker & deployment guide","Compose topology, volumes, healthchecks, prod/dev; migrate-on-deploy; scaling/resource/backup notes.","5","P2","STORY-01.5, STORY-02.7"
"Story","","EPIC-10","STORY-10.3 API documentation (Swagger/OpenAPI)","Publish Swagger UI + commit openapi.json; endpoints/schemas/errors + examples.","3","P2","STORY-04.8"
"Story","","EPIC-10","STORY-10.4 ER diagram","Mermaid ER diagram of all tables/keys/relationships; embed in docs.","2","P2","EPIC-02"
"Story","","EPIC-10","STORY-10.5 Architecture & sequence diagrams","Architecture diagram; sequence diagrams for manual sync + cron fan-out; in-repo Mermaid.","5","P2","EPIC-03, EPIC-04, EPIC-05"
"Story","","EPIC-10","STORY-10.6 Release packaging & handover","Changelog + tag; requirement->implementation traceability checklist; known limitations + roadmap.","3","P2","EPIC-04, EPIC-07"
